Year,Season,Hour,MCP
1,1,1,75
1,1,2,75
1,1,3,75
1,1,4,75
1,1,5,75
1,1,6,75
1,1,7,75
1,1,8,75
1,1,9,75
1,1,10,75
1,1,11,75
1,1,12,75
1,1,13,75
1,1,14,75
1,1,15,75
1,1,16,75
1,1,17,75
1,1,18,75
1,1,19,75
1,1,20,75
1,1,21,75
1,1,22,75
1,1,23,75
1,1,24,75
1,2,1,80
1,2,2,80
1,2,3,80
1,2,4,80
1,2,5,80
1,2,6,80
1,2,7,80
1,2,8,80
1,2,9,80
1,2,10,80
1,2,11,80
1,2,12,80
1,2,13,80
1,2,14,80
1,2,15,80
1,2,16,80
1,2,17,80
1,2,18,80
1,2,19,80
1,2,20,80
1,2,21,80
1,2,22,80
1,2,23,80
1,2,24,80
1,3,1,85
1,3,2,85
1,3,3,85
1,3,4,85
1,3,5,85
1,3,6,85
1,3,7,85
1,3,8,85
1,3,9,85
1,3,10,85
1,3,11,85
1,3,12,85
1,3,13,85
1,3,14,85
1,3,15,85
1,3,16,85
1,3,17,85
1,3,18,85
1,3,19,85
1,3,20,85
1,3,21,85
1,3,22,85
1,3,23,85
1,3,24,85
1,4,1,90
1,4,2,90
1,4,3,90
1,4,4,90
1,4,5,90
1,4,6,90
1,4,7,90
1,4,8,90
1,4,9,90
1,4,10,90
1,4,11,90
1,4,12,90
1,4,13,90
1,4,14,90
1,4,15,90
1,4,16,90
1,4,17,90
1,4,18,90
1,4,19,90
1,4,20,90
1,4,21,90
1,4,22,90
1,4,23,90
1,4,24,90
1,5,1,95
1,5,2,95
1,5,3,95
1,5,4,95
1,5,5,95
1,5,6,95
1,5,7,95
1,5,8,95
1,5,9,95
1,5,10,95
1,5,11,95
1,5,12,95
1,5,13,95
1,5,14,95
1,5,15,95
1,5,16,95
1,5,17,95
1,5,18,95
1,5,19,95
1,5,20,95
1,5,21,95
1,5,22,95
1,5,23,95
1,5,24,95